name,phone,email,password
TestUser,5071392846,testuser1@eminds.ai,Test@12345
TestUser,9612473085,testuser2@eminds.ai,Test@12345
TestUser,3842510967,testuser3@eminds.ai,Test@12345
TestUser,7928435102,testuser4@eminds.ai,Test@12345
TestUser,6140932875,testuser5@eminds.ai,Test@12345
TestUser,8301946752,testuser6@eminds.ai,Test@12345
TestUser,2059173486,testuser7@eminds.ai,Test@12345
TestUser,4783029516,testuser8@eminds.ai,Test@12345
TestUser,1294807635,testuser9@eminds.ai,Test@12345
TestUser,9907284156,testuser10@eminds.ai,Test@12345
TestUser,8439201576,testuser11@eminds.ai,Test@12345
TestUser,9021389476,testuser12@eminds.ai,Test@12345
TestUser,6793241850,testuser13@eminds.ai,Test@12345
TestUser,7582031946,testuser14@eminds.ai,Test@12345
TestUser,9204758163,testuser15@eminds.ai,Test@12345
TestUser,9175892046,testuser16@eminds.ai,Test@12345
TestUser,2460813957,testuser17@eminds.ai,Test@12345
TestUser,8430219675,testuser18@eminds.ai,Test@12345
TestUser,5038194276,testuser19@eminds.ai,Test@12345
TestUser,7986024135,testuser20@eminds.ai,Test@12345
TestUser,1857309462,testuser21@eminds.ai,Test@12345
TestUser,3709158264,testuser22@eminds.ai,Test@12345
TestUser,9051826473,testuser23@eminds.ai,Test@12345
TestUser,6014839725,testuser24@eminds.ai,Test@12345
TestUser,7128430591,testuser25@eminds.ai,Test@12345
TestUser,1342059786,testuser26@eminds.ai,Test@12345
TestUser,8420971356,testuser27@eminds.ai,Test@12345
TestUser,6197302845,testuser28@eminds.ai,Test@12345
TestUser,4520938167,testuser29@eminds.ai,Test@12345
TestUser,9032178456,testuser30@eminds.ai,Test@12345
TestUser,5819462370,testuser31@eminds.ai,Test@12345
TestUser,6703825149,testuser32@eminds.ai,Test@12345
TestUser,4903718265,testuser33@eminds.ai,Test@12345
TestUser,8470931260,testuser34@eminds.ai,Test@12345
TestUser,7190846235,testuser35@eminds.ai,Test@12345
TestUser,1684923075,testuser36@eminds.ai,Test@12345
TestUser,7304982156,testuser37@eminds.ai,Test@12345
TestUser,2147859036,testuser38@eminds.ai,Test@12345
TestUser,9642017853,testuser39@eminds.ai,Test@12345
TestUser,3908125476,testuser40@eminds.ai,Test@12345
TestUser,5729031846,testuser41@eminds.ai,Test@12345
TestUser,8420319756,testuser42@eminds.ai,Test@12345
TestUser,6017382945,testuser43@eminds.ai,Test@12345
TestUser,7196038425,testuser44@eminds.ai,Test@12345
TestUser,9058273641,testuser45@eminds.ai,Test@12345
TestUser,3209647185,testuser46@eminds.ai,Test@12345
TestUser,1842039675,testuser47@eminds.ai,Test@12345
TestUser,6029381745,testuser48@eminds.ai,Test@12345
TestUser,7392850146,testuser49@eminds.ai,Test@12345
TestUser,5908237416,testuser50@eminds.ai,Test@12345
